#,System call,10240,10586,14393,15063,16299,17134,17763,18362,18363,19041,19042,19043,19044,19045,22000,20348,22621,22631,25398,26100,26085
1,NtAcceptConnectPort,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002
2,NtAccessCheck,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
3,NtAccessCheckAndAuditAlarm,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029,0x0029
4,NtAccessCheckByType,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063,0x0063
5,NtAccessCheckByTypeAndAuditAlarm,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059,0x0059
6,NtAccessCheckByTypeResultList,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064,0x0064
7,NtAccessCheckByTypeResultListAndAuditAlarm,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065,0x0065
8,NtAccessCheckByTypeResultListAndAuditAlarmByHandle,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066,0x0066
9,NtAcquireCMFViewOwnership,,,,,,,,,,,,,,,,,,,,,
10,NtAcquireCrossVmMutant,,,,,,,,,,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067
11,NtAcquireProcessActivityReference,,,,0x0067,0x0067,0x0067,0x0067,0x0067,0x0067,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068
12,NtAddAtom,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047,0x0047
13,NtAddAtomEx,0x0067,0x0067,0x0067,0x0068,0x0068,0x0068,0x0068,0x0068,0x0068,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069
14,NtAddBootEntry,0x0068,0x0068,0x0068,0x0069,0x0069,0x0069,0x0069,0x0069,0x0069,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a
15,NtAddDriverEntry,0x0069,0x0069,0x0069,0x006a,0x006a,0x006a,0x006a,0x006a,0x006a,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b
16,NtAdjustGroupsToken,0x006a,0x006a,0x006a,0x006b,0x006b,0x006b,0x006b,0x006b,0x006b,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c
17,NtAdjustPrivilegesToken,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041,0x0041
18,NtAdjustTokenClaimsAndDeviceGroups,0x006b,0x006b,0x006b,0x006c,0x006c,0x006c,0x006c,0x006c,0x006c,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d
19,NtAlertMultipleThreadByThreadId,,,,,,,,,,,,,,,,,,,,0x006e,0x006e
20,NtAlertResumeThread,0x006c,0x006c,0x006c,0x006d,0x006d,0x006d,0x006d,0x006d,0x006d,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006f,0x006f
21,NtAlertThread,0x006d,0x006d,0x006d,0x006e,0x006e,0x006e,0x006e,0x006e,0x006e,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x0070,0x0070
22,NtAlertThreadByThreadId,0x006e,0x006e,0x006e,0x006f,0x006f,0x006f,0x006f,0x006f,0x006f,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0071,0x0071
23,NtAlertThreadByThreadIdEx,,,,,,,,,,,,,,,,,,,0x0071,0x0072,0x0072
24,NtAllocateLocallyUniqueId,0x006f,0x006f,0x006f,0x0070,0x0070,0x0070,0x0070,0x0070,0x0070,0x0071,0x0071,0x0071,0x0071,0x0071,0x0071,0x0071,0x0071,0x0071,0x0072,0x0073,0x0073
25,NtAllocateReserveObject,0x0070,0x0070,0x0070,0x0071,0x0071,0x0071,0x0071,0x0071,0x0071,0x0072,0x0072,0x0072,0x0072,0x0072,0x0072,0x0072,0x0072,0x0072,0x0073,0x0074,0x0074
26,NtAllocateUserPhysicalPages,0x0071,0x0071,0x0071,0x0072,0x0072,0x0072,0x0072,0x0072,0x0072,0x0073,0x0073,0x0073,0x0073,0x0073,0x0073,0x0073,0x0073,0x0073,0x0074,0x0075,0x0075
27,NtAllocateUserPhysicalPagesEx,,,,,,,,,,0x0074,0x0074,0x0074,0x0074,0x0074,0x0074,0x0074,0x0074,0x0074,0x0075,0x0076,0x0076
28,NtAllocateUuids,0x0072,0x0072,0x0072,0x0073,0x0073,0x0073,0x0073,0x0073,0x0073,0x0075,0x0075,0x0075,0x0075,0x0075,0x0075,0x0075,0x0075,0x0075,0x0076,0x0077,0x0077
29,NtAllocateVirtualMemory,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018,0x0018
30,NtAllocateVirtualMemoryEx,,,,,,0x0074,0x0074,0x0074,0x0074,0x0076,0x0076,0x0076,0x0076,0x0076,0x0076,0x0076,0x0076,0x0076,0x0077,0x0078,0x0078
31,NtAlpcAcceptConnectPort,0x0073,0x0073,0x0073,0x0074,0x0074,0x0075,0x0075,0x0075,0x0075,0x0077,0x0077,0x0077,0x0077,0x0077,0x0077,0x0077,0x0077,0x0077,0x0078,0x0079,0x0079
32,NtAlpcCancelMessage,0x0074,0x0074,0x0074,0x0075,0x0075,0x0076,0x0076,0x0076,0x0076,0x0078,0x0078,0x0078,0x0078,0x0078,0x0078,0x0078,0x0078,0x0078,0x0079,0x007a,0x007a
33,NtAlpcConnectPort,0x0075,0x0075,0x0075,0x0076,0x0076,0x0077,0x0077,0x0077,0x0077,0x0079,0x0079,0x0079,0x0079,0x0079,0x0079,0x0079,0x0079,0x0079,0x007a,0x007b,0x007b
34,NtAlpcConnectPortEx,0x0076,0x0076,0x0076,0x0077,0x0077,0x0078,0x0078,0x0078,0x0078,0x007a,0x007a,0x007a,0x007a,0x007a,0x007a,0x007a,0x007a,0x007a,0x007b,0x007c,0x007c
35,NtAlpcCreatePort,0x0077,0x0077,0x0077,0x0078,0x0078,0x0079,0x0079,0x0079,0x0079,0x007b,0x007b,0x007b,0x007b,0x007b,0x007b,0x007b,0x007b,0x007b,0x007c,0x007d,0x007d
36,NtAlpcCreatePortSection,0x0078,0x0078,0x0078,0x0079,0x0079,0x007a,0x007a,0x007a,0x007a,0x007c,0x007c,0x007c,0x007c,0x007c,0x007c,0x007c,0x007c,0x007c,0x007d,0x007e,0x007e
37,NtAlpcCreateResourceReserve,0x0079,0x0079,0x0079,0x007a,0x007a,0x007b,0x007b,0x007b,0x007b,0x007d,0x007d,0x007d,0x007d,0x007d,0x007d,0x007d,0x007d,0x007d,0x007e,0x007f,0x007f
38,NtAlpcCreateSectionView,0x007a,0x007a,0x007a,0x007b,0x007b,0x007c,0x007c,0x007c,0x007c,0x007e,0x007e,0x007e,0x007e,0x007e,0x007e,0x007e,0x007e,0x007e,0x007f,0x0080,0x0080
39,NtAlpcCreateSecurityContext,0x007b,0x007b,0x007b,0x007c,0x007c,0x007d,0x007d,0x007d,0x007d,0x007f,0x007f,0x007f,0x007f,0x007f,0x007f,0x007f,0x007f,0x007f,0x0080,0x0081,0x0081
40,NtAlpcDeletePortSection,0x007c,0x007c,0x007c,0x007d,0x007d,0x007e,0x007e,0x007e,0x007e,0x0080,0x0080,0x0080,0x0080,0x0080,0x0080,0x0080,0x0080,0x0080,0x0081,0x0082,0x0082
41,NtAlpcDeleteResourceReserve,0x007d,0x007d,0x007d,0x007e,0x007e,0x007f,0x007f,0x007f,0x007f,0x0081,0x0081,0x0081,0x0081,0x0081,0x0081,0x0081,0x0081,0x0081,0x0082,0x0083,0x0083
42,NtAlpcDeleteSectionView,0x007e,0x007e,0x007e,0x007f,0x007f,0x0080,0x0080,0x0080,0x0080,0x0082,0x0082,0x0082,0x0082,0x0082,0x0082,0x0082,0x0082,0x0082,0x0083,0x0084,0x0084
43,NtAlpcDeleteSecurityContext,0x007f,0x007f,0x007f,0x0080,0x0080,0x0081,0x0081,0x0081,0x0081,0x0083,0x0083,0x0083,0x0083,0x0083,0x0083,0x0083,0x0083,0x0083,0x0084,0x0085,0x0085
44,NtAlpcDisconnectPort,0x0080,0x0080,0x0080,0x0081,0x0081,0x0082,0x0082,0x0082,0x0082,0x0084,0x0084,0x0084,0x0084,0x0084,0x0084,0x0084,0x0084,0x0084,0x0085,0x0086,0x0086
45,NtAlpcImpersonateClientContainerOfPort,0x0081,0x0081,0x0081,0x0082,0x0082,0x0083,0x0083,0x0083,0x0083,0x0085,0x0085,0x0085,0x0085,0x0085,0x0085,0x0085,0x0085,0x0085,0x0086,0x0087,0x0087
46,NtAlpcImpersonateClientOfPort,0x0082,0x0082,0x0082,0x0083,0x0083,0x0084,0x0084,0x0084,0x0084,0x0086,0x0086,0x0086,0x0086,0x0086,0x0086,0x0086,0x0086,0x0086,0x0087,0x0088,0x0088
47,NtAlpcOpenSenderProcess,0x0083,0x0083,0x0083,0x0084,0x0084,0x0085,0x0085,0x0085,0x0085,0x0087,0x0087,0x0087,0x0087,0x0087,0x0087,0x0087,0x0087,0x0087,0x0088,0x0089,0x0089
